pin,slack
FUNCTIONAL_OUTPUTS/counter[5]:CLK,17222
FUNCTIONAL_OUTPUTS/counter[5]:D,17083
FUNCTIONAL_OUTPUTS/counter[5]:Q,17222
FUNCTIONAL_OUTPUTS/counter_cry[18]:B,17043
FUNCTIONAL_OUTPUTS/counter_cry[18]:C,17295
FUNCTIONAL_OUTPUTS/counter_cry[18]:CC,16933
FUNCTIONAL_OUTPUTS/counter_cry[18]:P,17043
FUNCTIONAL_OUTPUTS/counter_cry[18]:S,16933
FUNCTIONAL_OUTPUTS/counter_cry[18]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[18]:Y3A,
DISAGREE_LED_obuf/U_IOPAD:D,
DISAGREE_LED_obuf/U_IOPAD:E,
DISAGREE_LED_obuf/U_IOPAD:PAD,
FUNCTIONAL_OUTPUTS/blink_counter_cry[9]:B,17370
FUNCTIONAL_OUTPUTS/blink_counter_cry[9]:CC,17377
FUNCTIONAL_OUTPUTS/blink_counter_cry[9]:P,17370
FUNCTIONAL_OUTPUTS/blink_counter_cry[9]:S,17377
FUNCTIONAL_OUTPUTS/blink_counter_cry[9]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[9]:Y3A,
FUNCTIONAL_OUTPUTS/blink_counter[14]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[14]:CLK,17362
FUNCTIONAL_OUTPUTS/blink_counter[14]:D,17271
FUNCTIONAL_OUTPUTS/blink_counter[14]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[14]:Q,17362
LED_PATTERN_obuf[7]/U_IOTRI:D,2049
LED_PATTERN_obuf[7]/U_IOTRI:DOUT,2049
LED_PATTERN_obuf[7]/U_IOTRI:EOUT,
I_1/U0_RGB1:A,
I_1/U0_RGB1:Y,
FUNCTIONAL_OUTPUTS/counter_cry[8]:B,17042
FUNCTIONAL_OUTPUTS/counter_cry[8]:C,17294
FUNCTIONAL_OUTPUTS/counter_cry[8]:CC,17059
FUNCTIONAL_OUTPUTS/counter_cry[8]:P,17042
FUNCTIONAL_OUTPUTS/counter_cry[8]:S,17059
FUNCTIONAL_OUTPUTS/counter_cry[8]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[8]:Y3A,
FUNCTIONAL_OUTPUTS/blink_counter_cry[3]:B,17319
FUNCTIONAL_OUTPUTS/blink_counter_cry[3]:CC,17421
FUNCTIONAL_OUTPUTS/blink_counter_cry[3]:P,17319
FUNCTIONAL_OUTPUTS/blink_counter_cry[3]:S,17421
FUNCTIONAL_OUTPUTS/blink_counter_cry[3]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[3]:Y3A,
FUNCTIONAL_OUTPUTS/blink_counter[17]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[17]:CLK,17428
FUNCTIONAL_OUTPUTS/blink_counter[17]:D,17244
FUNCTIONAL_OUTPUTS/blink_counter[17]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[17]:Q,17428
LED_PATTERN_obuf[6]/U_IOTRI:D,2049
LED_PATTERN_obuf[6]/U_IOTRI:DOUT,2049
LED_PATTERN_obuf[6]/U_IOTRI:EOUT,
DISAGREE_LED_obuf/U_IOTRI:DOUT,
DISAGREE_LED_obuf/U_IOTRI:EOUT,
VOTER_EXT_RESETN/voted_output:ALn,
VOTER_EXT_RESETN/voted_output:CLK,16849
VOTER_EXT_RESETN/voted_output:D,
VOTER_EXT_RESETN/voted_output:Q,16849
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.N_4_i:A,17826
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.N_4_i:B,17783
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.N_4_i:C,17735
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.N_4_i:D,17630
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.N_4_i:Y,17630
FUNCTIONAL_OUTPUTS/counter_cry[14]:B,17086
FUNCTIONAL_OUTPUTS/counter_cry[14]:C,17338
FUNCTIONAL_OUTPUTS/counter_cry[14]:CC,17006
FUNCTIONAL_OUTPUTS/counter_cry[14]:P,17086
FUNCTIONAL_OUTPUTS/counter_cry[14]:S,17006
FUNCTIONAL_OUTPUTS/counter_cry[14]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[14]:Y3A,
FUNCTIONAL_OUTPUTS/blink_counter[19]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[19]:CLK,17363
FUNCTIONAL_OUTPUTS/blink_counter[19]:D,17251
FUNCTIONAL_OUTPUTS/blink_counter[19]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[19]:Q,17363
FUNCTIONAL_OUTPUTS/counter[3]:ALn,
FUNCTIONAL_OUTPUTS/counter[3]:CLK,17174
FUNCTIONAL_OUTPUTS/counter[3]:D,17052
FUNCTIONAL_OUTPUTS/counter[3]:Q,17174
FUNCTIONAL_OUTPUTS/led_pattern[4]:ALn,
FUNCTIONAL_OUTPUTS/led_pattern[4]:CLK,2049
FUNCTIONAL_OUTPUTS/led_pattern[4]:D,17630
FUNCTIONAL_OUTPUTS/led_pattern[4]:Q,2049
FUNCTIONAL_OUTPUTS/counter_cry[10]:B,17053
FUNCTIONAL_OUTPUTS/counter_cry[10]:C,17305
FUNCTIONAL_OUTPUTS/counter_cry[10]:CC,16976
FUNCTIONAL_OUTPUTS/counter_cry[10]:P,17053
FUNCTIONAL_OUTPUTS/counter_cry[10]:S,16976
FUNCTIONAL_OUTPUTS/counter_cry[10]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[10]:Y3A,
LED_PATTERN_obuf[7]/U_IOPAD:D,2049
LED_PATTERN_obuf[7]/U_IOPAD:E,
LED_PATTERN_obuf[7]/U_IOPAD:PAD,2049
FUNCTIONAL_OUTPUTS/status_led:ALn,
FUNCTIONAL_OUTPUTS/status_led:CLK,2049
FUNCTIONAL_OUTPUTS/status_led:D,17552
FUNCTIONAL_OUTPUTS/status_led:Q,2049
FUNCTIONAL_OUTPUTS/counter_cry[5]:B,16970
FUNCTIONAL_OUTPUTS/counter_cry[5]:C,17222
FUNCTIONAL_OUTPUTS/counter_cry[5]:CC,17083
FUNCTIONAL_OUTPUTS/counter_cry[5]:P,16970
FUNCTIONAL_OUTPUTS/counter_cry[5]:S,17083
FUNCTIONAL_OUTPUTS/counter_cry[5]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[5]:Y3A,
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:CC[0],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:CC[10],17006
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:CC[11],16976
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:CC[1],17309
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:CC[2],17277
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:CC[3],17103
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:CC[4],17052
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:CC[5],17024
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:CC[6],17083
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:CC[7],17037
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:CC[8],17002
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:CC[9],17059
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:CO,16849
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:P[0],16912
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:P[10],17005
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:P[11],17053
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:P[1],16849
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:P[2],16932
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:P[3],16982
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:P[4],16922
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:P[5],16998
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:P[6],16970
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:P[7],16939
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:P[8],16993
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:P[9],17042
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3A[0],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3A[10],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3A[11],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3A[1],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3A[2],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3A[3],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3A[4],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3A[5],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3A[6],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3A[7],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3A[8],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3A[9],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3[0],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3[10],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3[11],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3[1],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3[2],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3[3],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3[4],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3[5],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3[6],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3[7],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3[8],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_0:Y3[9],
FUNCTIONAL_OUTPUTS/blink_counter_cry[6]:B,17307
FUNCTIONAL_OUTPUTS/blink_counter_cry[6]:CC,17401
FUNCTIONAL_OUTPUTS/blink_counter_cry[6]:P,17307
FUNCTIONAL_OUTPUTS/blink_counter_cry[6]:S,17401
FUNCTIONAL_OUTPUTS/blink_counter_cry[6]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[6]:Y3A,
FUNCTIONAL_OUTPUTS/blink_counter_cry[2]:B,17259
FUNCTIONAL_OUTPUTS/blink_counter_cry[2]:CC,17589
FUNCTIONAL_OUTPUTS/blink_counter_cry[2]:P,17259
FUNCTIONAL_OUTPUTS/blink_counter_cry[2]:S,17589
FUNCTIONAL_OUTPUTS/blink_counter_cry[2]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[2]:Y3A,
FUNCTIONAL_OUTPUTS/counter[2]:ALn,
FUNCTIONAL_OUTPUTS/counter[2]:CLK,17234
FUNCTIONAL_OUTPUTS/counter[2]:D,17103
FUNCTIONAL_OUTPUTS/counter[2]:Q,17234
FUNCTIONAL_OUTPUTS/blink_counter[4]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[4]:CLK,17268
FUNCTIONAL_OUTPUTS/blink_counter[4]:D,17370
FUNCTIONAL_OUTPUTS/blink_counter[4]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[4]:Q,17268
FUNCTIONAL_OUTPUTS/blink_counter[8]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[8]:CLK,17339
FUNCTIONAL_OUTPUTS/blink_counter[8]:D,17320
FUNCTIONAL_OUTPUTS/blink_counter[8]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[8]:Q,17339
LED_PATTERN_obuf[0]/U_IOPAD:D,2049
LED_PATTERN_obuf[0]/U_IOPAD:E,
LED_PATTERN_obuf[0]/U_IOPAD:PAD,2049
FUNCTIONAL_OUTPUTS/counter[16]:ALn,
FUNCTIONAL_OUTPUTS/counter[16]:CLK,17354
FUNCTIONAL_OUTPUTS/counter[16]:D,16926
FUNCTIONAL_OUTPUTS/counter[16]:Q,17354
FUNCTIONAL_OUTPUTS/blink_counter_s_1:B,17235
FUNCTIONAL_OUTPUTS/blink_counter_s_1:CC,
FUNCTIONAL_OUTPUTS/blink_counter_s_1:P,17235
FUNCTIONAL_OUTPUTS/blink_counter_s_1:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_s_1:Y3A,
FUNCTIONAL_OUTPUTS/blink_counter_RNO[0]:A,17866
FUNCTIONAL_OUTPUTS/blink_counter_RNO[0]:Y,17866
FUNCTIONAL_OUTPUTS/counter[18]:ALn,
FUNCTIONAL_OUTPUTS/counter[18]:CLK,17295
FUNCTIONAL_OUTPUTS/counter[18]:D,16933
FUNCTIONAL_OUTPUTS/counter[18]:Q,17295
FUNCTIONAL_OUTPUTS/counter_cry[17]:B,17074
FUNCTIONAL_OUTPUTS/counter_cry[17]:C,17326
FUNCTIONAL_OUTPUTS/counter_cry[17]:CC,16982
FUNCTIONAL_OUTPUTS/counter_cry[17]:P,17074
FUNCTIONAL_OUTPUTS/counter_cry[17]:S,16982
FUNCTIONAL_OUTPUTS/counter_cry[17]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[17]:Y3A,
FUNCTIONAL_OUTPUTS/counter_s[27]:B,17417
FUNCTIONAL_OUTPUTS/counter_s[27]:C,17676
FUNCTIONAL_OUTPUTS/counter_s[27]:CC,16851
FUNCTIONAL_OUTPUTS/counter_s[27]:P,
FUNCTIONAL_OUTPUTS/counter_s[27]:S,16851
FUNCTIONAL_OUTPUTS/counter_s[27]:Y3,
FUNCTIONAL_OUTPUTS/counter_s[27]:Y3A,
FUNCTIONAL_OUTPUTS/counter_cry[6]:B,16939
FUNCTIONAL_OUTPUTS/counter_cry[6]:C,17191
FUNCTIONAL_OUTPUTS/counter_cry[6]:CC,17037
FUNCTIONAL_OUTPUTS/counter_cry[6]:P,16939
FUNCTIONAL_OUTPUTS/counter_cry[6]:S,17037
FUNCTIONAL_OUTPUTS/counter_cry[6]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[6]:Y3A,
FAULT_LEDS[2],
FAULT_LEDS[1],
FAULT_LEDS[0],
LED_PATTERN[7],2049
LED_PATTERN[6],2049
LED_PATTERN[5],2049
LED_PATTERN[4],2049
LED_PATTERN[3],2049
LED_PATTERN[2],2049
LED_PATTERN[1],2049
LED_PATTERN[0],2049
CLK_IN,
RST_N_IN,
DISAGREE_LED,
HEARTBEAT_LED,-7050
STATUS_LED,2049
